CustomerID,Recency,Frequency,AverageSpend,ProductDiversity,TotalOrders,AverageBasketSize,AverageQuantityPerOrder,PC1,PC2,PC3,PC4,PC5,High_Value_Customer,Future_Spend
12453,-0.7717605395339867,-0.4242629202453546,0.6061499730504021,-0.11023633669135223,-0.4242629202453546,1.1684753088228141,0.8903812151162338,-0.7286669447530353,-0.33781503322949724,-0.09955504732603856,0.5427238782953028,0.12238860015431952,0,0.0
17732,2.3315942875605837,-0.4242629202453546,-0.1310406900580025,-0.46481409167628596,-0.4242629202453546,-0.14732655417814702,-0.4246226772057487,0.62351874903911,-0.6147501657168497,-0.012818589613379656,0.2788565096797084,-0.024091188871996093,0,0.0
17556,0.15403018619590605,-0.4242629202453546,-0.3981607539601772,-0.6350114140690541,-0.4242629202453546,-0.7789114484186084,-0.3969383847358123,1.151998818348117,-0.8281949841419064,-2.210837003013285,-1.2875331347113679,1.68979410420636,0,0.0
15804,-1.1107824954350742,0.08666561850139992,0.2626034336869304,0.7407502752724887,0.08666561850139992,0.5105743773223336,0.2060601106249916,0.3234469717925035,-0.28136760010610945,-0.0063563206361741025,0.05834039102210765,-0.4975218392147096,1,2129.48
13092,0.2322660221730801,0.08666561850139992,-0.4858703867725826,-0.507363422274478,0.08666561850139992,-0.8183855043086372,-0.6642648338986363,-0.3967716157449502,-0.07413962665543679,-0.4776841333187348,0.2275268364776533,-0.8925514408032046,0,38.08
16303,-1.0195073534617045,-0.25395340732976973,3.0037294745260206,0.8683982670670648,-0.25395340732976973,2.3000649110036404,2.757340688557575,-0.00026852807792092305,0.49351217085717897,-0.06604929126826264,0.8003368433483462,-0.3107839388809368,1,1324.3
18246,0.5191307540893849,-0.4242629202453546,-0.26100730155610313,-0.6917438548666435,-0.4242629202453546,-0.9894397464987621,-0.5042150180568161,3.710733286559742,-1.6481658826739032,6.238367925570006,3.496397231194984,2.2207241799940647,0,363.2
15670,1.3406070318497123,-0.4242629202453546,-0.37045575657455426,-0.54991275287267,-0.4242629202453546,-0.4631190012983777,-0.43154375032323283,0.6418060655568782,1.695773849515083,0.47323604469605357,1.6967963665476509,0.5701236615969862,0,0.0
12686,2.3185549815643878,-0.4242629202453546,-0.5239030391242324,-0.6208283038696568,-0.4242629202453546,-0.7262793738985699,-0.3761751653833599,-0.4410087376848729,0.8771044321136227,0.6747479993789864,-0.8493521648492467,-0.8355615691716828,0,0.0
14142,2.3446335935567792,-0.4242629202453546,-0.11670358250003,-0.4080816508786965,-0.4242629202453546,0.06320174390200677,0.33669536571750436,-0.8138290646617873,0.04296067663393942,0.3467985628242323,-0.47316628355736323,0.8266092014296005,0,0.0
13310,0.16706949219210174,-0.25395340732976973,0.0607089799663866,-0.010954565295570795,-0.25395340732976973,0.27373004198216055,-0.06299660681720351,0.8353893600448659,0.21874415252629656,-0.22125745907771555,-0.22980356977080194,0.856725955780334,0,314.38
