CustomerID,Recency,Frequency,Monetary,AverageSpend,ProductDiversity,TotalOrders,AverageBasketSize,AverageQuantityPerOrder,Decorations_Spend_Pct,Gadgets_Spend_Pct,Homeware_Spend_Pct,Kitchenware_Spend_Pct,Other_Spend_Pct,Stationery_Spend_Pct,Future_Spend,High_Value_Customer
12453,34,1,707.09,707.09,43,1,43.0,473.0,0.07127805512735295,0.0,0.06364112064942228,0.2139614476233577,0.612086155934888,0.039033220664978996,0.0,0
17732,272,1,303.97,303.97,18,1,18.0,93.0,0.03355594302069283,0.1164588610718163,0.1169523308221206,0.10741191564957067,0.6256209494357996,0.0,0.0,0
17556,105,1,157.9,157.9,6,1,6.0,101.0,0.09404686510449652,0.4749841671944268,0.0,0.2523749208359721,0.1785940468651045,0.0,0.0,0
15804,8,4,2076.91,519.2275,103,4,30.5,275.25,0.021450135056405913,0.07287749589534454,0.07063377806452856,0.06843820868501765,0.7480824879267759,0.018517894371927527,2129.48,1
13092,111,4,439.75,109.9375,15,4,5.25,23.75,0.0450255827174531,0.0,0.0,0.09277998862990335,0.8621944286526435,0.0,38.08,0
16303,15,2,4036.33,2018.165,112,2,64.5,1012.5,0.12579496721031233,0.0,0.07310601462219392,0.06559176281423967,0.6992862327906787,0.036221022562575415,1324.3,1
18246,133,1,232.9,232.9,2,1,2.0,70.0,0.0,0.0,0.8733361957921855,0.0,0.0,0.1266638042078145,363.2,0
15670,196,1,173.05,173.05,12,1,12.0,91.0,0.27650967928344405,0.0,0.1733603004911875,0.0,0.4478474429355677,0.10228257728980064,0.0,0
12686,271,1,89.14,89.14,7,1,7.0,107.0,0.0,0.0,0.0,0.0,0.8317253758133274,0.16827462418667266,0.0,0
14142,273,1,311.81,311.81,22,1,22.0,313.0,0.04810621853051538,0.07504570090760398,0.05734261248837433,0.2320323273788525,0.42506654693563384,0.16240659375901992,0.0,0
13310,106,2,817.65,408.825,50,2,26.0,197.5,0.10658594753256284,0.21684094661529996,0.10053201247477526,0.10481257261664527,0.3846389041766037,0.08658961658411303,314.38,0
12866,183,1,559.12,559.12,26,1,26.0,171.0,0.0,0.0,0.0,0.41958792388038346,0.5804120761196165,0.0,0.0,0
13389,132,1,257.89,257.89,18,1,18.0,115.0,0.1855442242816705,0.0,0.05816433363061771,0.19399744076932027,0.5622940013183916,0.0,540.07,0
12724,73,2,280.36,140.18,15,2,9.0,89.0,0.0,0.08902839206734199,0.0,0.0,0.8382080182622342,0.07276358967042373,751.0500000000001,0
14236,271,1,189.3,189.3,3,1,3.0,38.0,0.0,0.0,0.0,0.08399366085578447,0.9160063391442155,0.0,301.56,0
17147,106,2,973.11,486.555,42,2,23.0,258.5,0.0,0.0,0.12331596633474119,0.3753429725313685,0.4513980947683201,0.04994296636557018,741.48,0
17711,189,1,220.53000000000003,220.53000000000003,13,1,13.0,107.0,0.1722214664671473,0.0,0.08026118895388383,0.06733777717317371,0.5999183784519113,0.08026118895388383,164.57,0
16639,106,2,471.15000000000003,235.57500000000002,19,2,10.0,79.5,0.0,0.11270296084049666,0.0,0.05412289079910856,0.7956064947468959,0.03756765361349889,786.36,0
12524,62,6,3122.48,520.4133333333333,92,6,19.333333333333332,381.6666666666667,0.03170556736952678,0.010664599933386282,0.04288898567805079,0.06775383669390997,0.7923381414772873,0.05464886884783889,1363.24,1
14853,111,1,214.5,214.5,3,1,3.0,34.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,261.3,0
17180,141,3,552.8,184.26666666666665,77,3,31.333333333333332,172.0,0.0,0.010672937771345876,0.20497467438494937,0.42340810419681624,0.2623914616497829,0.09855282199710565,231.17,0
13654,45,4,1714.27,428.5675,100,4,27.25,383.0,0.028962765492017015,0.007875072188161724,0.0,0.042612890618164,0.7609828090090826,0.15956646269257466,993.0600000000001,1
14857,48,1,522.52,522.52,29,1,29.0,188.0,0.0284199647860369,0.0,0.0,0.15473091939064532,0.7979024726326266,0.018946643190691267,650.6,0
13873,19,3,389.6,129.86666666666667,21,3,7.666666666666667,46.666666666666664,0.0,0.026694045174537988,0.03811601642710472,0.2981262833675565,0.6370636550308009,0.0,0.0,0
13148,33,10,2766.01,276.601,173,10,23.9,137.0,0.012201691244789425,0.16160462181987773,0.031923239612293514,0.06258111865105331,0.6873619401231376,0.04432738854884834,917.25,1
15745,136,1,302.85,302.85,18,1,18.0,127.0,0.05894006934125805,0.0,0.2506191183754333,0.08420009905894006,0.6062407132243686,0.0,791.74,0
15589,155,3,478.53000000000003,159.51000000000002,28,3,9.666666666666666,81.0,0.07867845276158235,0.036988276597078554,0.031032537145006582,0.06394583411698326,0.7160052661275155,0.07334963325183375,0.0,0
14794,103,4,679.54,169.885,37,4,10.0,77.75,0.03752538481914236,0.11036877887983047,0.0,0.0,0.8296789004326456,0.022426935868381553,640.37,0
17819,82,6,3468.47,578.0783333333333,36,6,7.666666666666667,165.16666666666666,0.017932979094528713,0.0,0.04410013637136836,0.4300455243954827,0.5070708410336546,0.0008505191049655901,236.39999999999998,1
14867,85,3,710.28,236.76,31,3,12.0,109.33333333333333,0.021118432167595878,0.04603818212535902,0.07475924987328941,0.08407951793658838,0.7740046178971673,0.0,0.0,0
15951,185,1,375.16999999999996,375.16999999999996,22,1,22.0,174.0,0.23802542847242586,0.027720766585814436,0.04477969986939255,0.0,0.6894741050723673,0.0,333.05,0
13777,29,24,12360.24,515.01,35,24,4.958333333333333,248.29166666666666,0.0006027391053895394,0.1282475097570921,0.02854960745098801,0.035638466566992225,0.7970589567840107,0.009902720335527465,13616.92,1
16297,168,1,301.9,301.9,20,1,20.0,206.0,0.0,0.10599536270288176,0.0,0.09837694600861215,0.7113613779397152,0.08426631334879099,0.0,0
15133,27,3,982.42,327.4733333333333,27,3,9.666666666666666,226.66666666666666,0.1476354308747786,0.04743388774658497,0.0,0.01526841880254881,0.7896622625760876,0.0,0.0,0
13494,211,1,316.26000000000005,316.26000000000005,18,1,18.0,162.0,0.06450388920508442,0.026876620502118507,0.06374501992031871,0.0,0.5650414216151267,0.27983304875735154,0.0,0
16777,157,1,173.52,173.52,35,1,37.0,48.0,0.024492853849700322,0.10200553250345783,0.017000922083909634,0.09641539880129091,0.7528815122176118,0.007203780544029506,49.1,0
12962,13,1,170.54000000000002,170.54000000000002,11,1,11.0,78.0,0.0,0.0,0.0,0.11610179430045736,0.8838982056995426,0.0,95.85000000000001,0
12571,21,1,248.35,248.35,14,1,14.0,197.0,0.041071069055768065,0.07972619287296154,0.4831890477149185,0.0,0.12140124823837325,0.2746124421179787,271.26,0
17660,41,1,178.75,178.75,37,1,38.0,121.0,0.2579020979020979,0.11692307692307692,0.054265734265734264,0.0,0.5664895104895106,0.004419580419580419,0.0,0
16626,13,7,2165.34,309.3342857142857,74,7,14.571428571428571,158.28571428571428,0.01828812103411011,0.09361116499025555,0.07153149159023525,0.07883288536673223,0.7377363370186668,0.0,2247.7599999999998,1
14285,76,1,5.9,5.9,1,1,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1904.1100000000001,0
16801,63,4,1594.23,398.5575,72,4,18.75,123.25,0.0,0.03199036525469976,0.1985284431982838,0.095249744390709,0.6742314471563075,0.0,0.0,0
12971,7,61,7854.76,128.7665573770492,80,61,3.377049180327869,92.91803278688525,0.27649603552495555,0.12090885017492578,0.06599819727146342,0.029874878417672848,0.18259755867779537,0.324124479933187,3335.15,1
15985,23,2,1142.42,571.21,29,2,18.5,543.0,0.0,0.1071409814253952,0.04831848181929588,0.07956793473503615,0.7208557273156982,0.044116874704574496,0.0,0
12393,145,3,1061.1000000000001,353.70000000000005,33,3,13.0,174.0,0.0,0.0,0.0,0.027989821882951654,0.9720101781170483,0.0,521.5,0
17298,1,2,498.42,249.21,30,2,15.0,193.5,0.16592432085389833,0.01998314674371012,0.0,0.0016853256289876006,0.7795032302074555,0.032903976565948394,0.0,0
12379,70,1,459.84,459.84,20,1,20.0,211.0,0.0,0.0,0.09981732776617955,0.22864474599860823,0.5606297842727906,0.11090814196242171,392.40000000000003,0
16743,12,6,1860.9,310.15000000000003,82,6,27.666666666666668,277.6666666666667,0.011795367832769089,0.024047503895964318,0.0036111558923101724,0.296318985437154,0.6190284271051641,0.04519855983663818,352.23,1
